variety,origin,type,alphaacid,betaacid,co-humuloneofaa,totaloilmls100gms,myrcene,humulene,caryophyllene,farnesene
Admiral,England,Bittering,13.5 - 15.5,4.8 - 6.0,37 - 45,1.0 - 1.7,39 - 40,7 - 8,6 - 8,1 - 2
Ahtanum,U.S.,Aroma,5.7 - 6.3,5.0 - 6.5,30 - 35,0.8 - 1.2,50 - 55,16 - 20,9 - 12,0 - 1
Amarillo,U.S.,Aroma,8.0 - 11.0,6.0 - 7.0,21 - 24,1.5 - 1.9,68 - 70,9 - 11,2 - 4,2 - 4
Bramling Cross,England,Dual,6.0 - 7.8,2.2 - 2.8,26 - 31,0.8 - 1.2,35 - 40,28 - 33,14 - 18,0 - 1
Brewers Gold,Germany,Dual,5.5 - 8.0,2.0 - 3.5,40 - 48,1.8 - 2.2,37 - 40,29 - 31,7 - 8,0 - 1
Cascade,N.Z.,Aroma,5.0 - 7.0,4.0 - 5.0,36 - 39,0.8 - 1.5,45 - 60,10 - 20,3 - 7,4 - 8
Cascade,U.S.,Dual,4.5 - 7.0,4.5 - 7.0,33 - 40,0.8 - 1.5,33 - 40,45 - 60,10 - 16,4 - 8
Centennial,U.S.,Dual,9.5 - 11.5,3.5 - 4.5,29 - 30,1.5 - 2.3,45 - 55,10 - 18,5 - 8,0 - 1
Challenger,England,Dual,6.5 - 8.5,2.5 - 4.5,20 - 25,1.0 - 1.5,30 - 42,25 - 32,8 - 10,1 - 3
Chinook,U.S.,Dual,12.0 - 14.0,3.0 - 4.0,29 - 34,1.5 - 2.5,35 - 40,20 - 25,9 - 11,0 - 1
Cluster,U.S.,Dual,5.5 - 8.5,4.5 - 5.5,36 - 42,0.4 - 0.8,45 - 55,15 - 18,6 - 7,0 - 1
Columbus,U.S.,Bittering,14.0 - 16.0,4.5 - 5.5,30 - 35,1.5 - 2.0,25 - 45,15 - 25,8 - 12,0 - 1
Crystal,U.S.,Aroma,2.0 - 4.5,4.5 - 6.5,20 - 26,1.0 - 1.5,45 - 60,18 - 24,4 - 8,0 - 1
East Kent Golding,England,Aroma,4.4 - 6.7,2.0 - 2.7,29 - 30,0.7 - 1.0,25 - 35,35 - 45,10 - 15,0 - 1
Eroica,U.S.,Bittering,11.0 - 13.0,4.0 - 5.5,36 - 42,0.8 - 1.3,55 - 65,0 - 1,7 - 12,0 - 1
First Gold,England,Dual,5.6 - 8.7,2.4 - 3.6,29 - 34,0.7 - 1.5,27 - 28,20 - 24,6 - 7,3 - 3
Fuggle,England,Dual,3.0 - 5.5,2.0 - 3.0,29 - 30,0.7 - 1.4,24 - 28,34 - 40,11 - 13,5 - 7
Fuggle,U.S.,Aroma,4.0 - 5.5,1.5 - 2.0,25 - 32,0.7 - 1.2,40 - 50,20 - 26,6 - 10,4 - 5
Galena,U.S.,Bittering,12.0 - 14.0,7.0 - 9.0,38 - 42,0.9 - 1.2,55 - 60,10 - 15,3 - 5,0 - 1
Glacier,U.S.,Dual,3.3 - 9.7,5.4 - 9.5,11 - 13,0.7 - 1.6,33 - 62,24 - 36,6 - 10,0 - 1
Green Bullet,N.Z.,Bittering,13.0 - 15.0,6.5 - 7.0,41 - 43,1.4 - 1.9,60 - 70,12 - 18,4 - 6,0 - 1
Hallertau,U.S.,Aroma,3.5 - 5.5,3.5 - 4.5,18 - 24,0.6 - 1.0,35 - 44,30 - 38,10 - 12,0 - 1
Hallertau Aroma,N.Z.,Dual,7.0 - 10.0,7.5 - 9.0,28 - 32,1.5 - 2.0,45 - 65,8 - 17,4 - 7,3 - 6
Hallertauer Magnum,Germany,Bittering,12.0 - 14.0,4.5 - 5.0,24 - 25,1.9 - 2.3,30 - 35,34 - 40,8 - 12,0 - 1
Hallertauer Mittelfrüh,Germany,Aroma,3.5 - 5.5,3.0 - 4.0,17 - 24,0.7 - 1.3,10 - 20,30 - 35,7 - 10,0 - 1
Hallertauer Taurus,Germany,Bittering,12.0 - 16.0,3.5 - 4.5,23 - 25,1.2 - 1.6,28 - 32,28 - 32,7 - 10,0 - 1
Hallertauer Tradition,Germany,Aroma,5.0 - 7.0,4.0 - 5.0,26 - 29,1.0 - 1.4,20 - 25,45 - 55,10 - 15,0 - 1
Herald,England,Dual,11.0 - 13.0,4.8 - 5.5,35 - 37,1.0 - 1.9,38 - 42,13 - 17,5 - 9,0 - 1
Hersbrucker,Germany,Aroma,3.0 - 5.5,4.0 - 5.5,19 - 25,0.7 - 1.3,15 - 25,15 - 25,7 - 12,0 - 1
Hersbrucker Pure,Germany,Aroma,4.2 - 5.2,2.0 - 2.8,25 - 27,0.5 - 0.7,22 - 25,25 - 29,10 - 13,0 - 1
Horizon,U.S.,Dual,10.2 - 16.5,6.5 - 8.5,17 - 22,1.5 - 2.0,65 - 70,8 - 10,5 - 6,2 - 2
Hüller Bitterer,Germany,Dual,5.0 - 6.3,4.8 - 5.2,27 - 30,1.3 - 1.7,27 - 29,20 - 22,7 - 9,0 - 1
Liberty,U.S.,Aroma,3.0 - 5.0,3.0 - 4.0,24 - 30,0.6 - 1.2,35 - 40,35 - 40,9 - 12,0 - 1
Lublin/Lubelski,Poland,Aroma,3.0 - 5.0,2.5 - 3.5,25 - 30,0.7 - 1.2,25 - 35,35 - 40,9 - 11,10 - 12
Marynka,Czech Republic,Dual,9.0 - 12.0,10.2 - 13.0,26 - 33,1.8 - 2.2,28 - 31,26 - 33,10 - 13,1 - 2
Merkur,Germany,Bittering,12.0 - 14.0,5.0 - 5.2,18 - 19,2.6 - 3.0,48 - 50,29 - 32,8 - 9,0 - 1
Mount Hood,U.S.,Aroma,5.0 - 8.0,5.0 - 7.5,22 - 23,1.0 - 1.3,55 - 65,15 - 25,7 - 10,0 - 1
Nelson Sauvin,N.Z.,Dual,12.0 - 14.0,6.0 - 8.0,22 - 26,1.7 - 2.0,50 - 60,15 - 25,5 - 8,0 - 1
Newport,U.S.,Bittering,13.5 - 17.0,7.2 - 9.1,36 - 38,1.6 - 3.3,47 - 54,9 - 14,4.5 - 7,0 - 1
Northdown,England,Dual,6.8 - 9.5,3.3 - 6.2,24 - 30,1.2 - 2.2,23 - 29,40 - 45,13 - 17,0 - 1
Northern Brewer,Germany,Dual,7.0 - 10.0,3.0 - 5.0,28 - 33,1.6 - 2.1,30 - 35,25 - 30,8 - 10,0 - 1
Nugget,U.S.,Bittering,12.0 - 14.0,4.0 - 6.0,24 - 30,1.7 - 2.3,51 - 59,12 - 22,7 - 10,0 - 1
Opal,Australia,Dual,13.0 - 14.0,3.5 - 4.0,28 - 34,0.9 - 1.1,30 - 45,20 - 25,9 - 11,0.2 - 0.2
Orion,Germany,Dual,6.0 - 8.5,3.2 - 4.2,27 - 30,0.9 - 1.1,25 - 28,35 - 39,10 - 12,0 - 1
Outeniqua,South Africa,Dual,12.0 - 13.5,4.1 - 5.1,28 - 30,1.5 - 1.7,38 - 43,28 - 33,9 - 10,0 - 1
Pacific Gem,N.Z.,Bittering,14.0 - 17.0,7.5 - 8.5,37 - 40,1.8 - 2.4,50 - 65,13 - 20,4 - 8,0 - 1
Pacific Hallertau,N.Z.,Aroma,5.0 - 6.5,6.0 - 7.0,22 - 26,1.5 - 2.3,35 - 55,20 - 35,8 - 11,0 - 1
Pacific Sunrise,N.Z.,Bittering,12.5 - 14.5,6.0 - 6.5,27 - 30,1.7 - 2.0,45 - 55,19 - 25,6 - 9,0 - 1
Perle,Germany,Dual,5.0 - 7.5,3.0 - 4.0,28 - 32,0.9 - 1.3,17 - 25,30 - 38,8 - 10,0 - 1
Perle,U.S.,Dual,7.0 - 9.5,4.0 - 5.0,27 - 32,0.7 - 0.9,45 - 55,28 - 33,10 - 12,0 - 1
Phoenix,England,Dual,12.0 - 15.0,3.3 - 5.3,24 - 28,1.3 - 2.5,24 - 32,25 - 32,8 - 10,1 - 2
Pilgrim (P38),England,Dual,10.0 - 13.0,4.2 - 5.2,36 - 38,1.6 - 2.0,25 - 35,15 - 19,7 - 8,0 - 1
Pioneer,England,Dual,8.0 - 10.0,3.5 - 4.0,36 - 40,1.0 - 1.8,31 - 36,22 - 24,7 - 8,0 - 1
Pride of Ringwood,Australia,Dual,9.0 - 12.0,4.0 - 6.0,33 - 39,1.0 - 2.0,25 - 50,3 - 8,5 - 10,0 - 1
Progress,England,Dual,6.0 - 7.5,2.0 - 2.5,25 - 36,0.5 - 0.8,30 - 35,40 - 47,12 - 15,0 - 1
Saaz,Czech Republic,Aroma,3.0 - 4.5,3.0 - 4.0,25 - 30,0.4 - 0.7,20 - 25,40 - 45,10 - 12,1 - 15
Saaz Triploid "B",N.Z.,Aroma,6.5 - 8.5,5.0 - 5.8,27 - 30,1.0 - 2.0,60 - 80,1 - 3,1 - 2,7 - 13
Santiam,U.S.,Aroma,5.0 - 7.0,6.0 - 8.0,22 - 24,1.3 - 1.5,27 - 36,23 - 26,7 - 8,14 - 16
Simcoe,U.S.,Dual,12.0 - 14.0,4.5 - 5.0,15 - 20,2.0 - 2.5,60 - 65,10 - 15,5 - 8,0 - 1
Southern Brewer,South Africa,Dual,9.0 - 10.5,3.6 - 4.5,38 - 41,1.4 - 1.6,39 - 43,17 - 21,9 - 10,13 - 13
Southern Cross,N.Z.,Dual,12.0 - 14.6,5.0 - 6.0,25 - 28,1.5 - 2.5,55 - 70,10 - 14,3 - 5,3 - 5
Southern Promise,South Africa,Dual,9.5 - 11.5,3.6 - 5.4,20 - 22,0.6 - 0.8,20 - 23,23 - 28,7 - 11,0 - 1
Southern Star,South Africa,Bittering,12.0 - 15.5,4.8 - 5.2,30 - 32,1.5 - 1.7,37 - 41,20 - 24,13 - 17,12 - 12
Spalt,U.S.,Aroma,3.0 - 6.0,3.0 - 5.0,20 - 25,0.5 - 1.0,35 - 55,10 - 20,3 - 7,10 - 15
Spalter,Germany,Aroma,3.5 - 5.5,4.0 - 5.5,23 - 28,0.5 - 1.1,15 - 25,18 - 25,10 - 15,10 - 15
Spalter Select,Germany,Aroma,4.0 - 6.0,3.5 - 4.5,21 - 25,0.5 - 1.0,15 - 25,15 - 25,7 - 11,15 - 25
Status,U.S.,Dual,12.5 - 14.0,8.5 - 9.0,32 - 35,1.5 - 1.8,40 - 45,15 - 20,7 - 10,0 - 1
Sterling,U.S.,Dual,6.0 - 9.0,4.0 - 6.0,23 - 24,1.3 - 1.9,44 - 48,19 - 23,5 - 7,11 - 17
Sticklebract,N.Z.,Dual,13.0 - 14.5,7.5 - 8.0,42 - 44,1.2 - 2.0,45 - 60,8 - 15,4 - 7,4 - 8
Strisselspalt,France,Aroma,3.0 - 5.0,3.0 - 5.0,20 - 25,0.6 - 0.9,20 - 30,15 - 25,8 - 10,0 - 1
Styrian Golding,Slovenia,Aroma,4.5 - 6.0,2.0 - 3.0,25 - 30,0.5 - 1.0,27 - 33,34 - 38,9 - 11,2 - 5
Sun,U.S.,Bittering,12.0 - 16.0,4.5 - 7.0,30 - 40,2.5 - 5.0,55 - 70,10 - 15,5 - 10,0 - 1
Super Alpha,N.Z.,Dual,12.5 - 15.0,7.0 - 8.5,36 - 39,1.2 - 2.2,45 - 60,16 - 25,5 - 8,0 - 1
Super Pride,Australia,Dual,14.0 - 15.0,7.0 - 8.0,30 - 34,1.7 - 1.9,30 - 45,1 - 2,7 - 9,0 - 1
Super Styrian (Aurora),Slovenia,Dual,7.5 - 8.8,3.6 - 4.0,22 - 26,1.0 - 1.2,29 - 31,18 - 20,4 - 6,6 - 8
Target,England,Bittering,9.5 - 12.5,4.3 - 5.5,35 - 39,1.2 - 1.4,45 - 55,17 - 22,8 - 10,0 - 1
Tettnanger,Germany,Aroma,3.5 - 5.5,3.5 - 5.0,23 - 29,0.6 - 1.0,20 - 25,20 - 25,6 - 10,12 - 16
Tettnanger,U.S.,Aroma,4.0 - 5.0,3.0 - 4.0,20 - 25,0.4 - 0.8,36 - 45,18 - 23,6 - 7,5 - 8
Ultra,U.S.,Aroma,2.0 - 3.5,3.0 - 4.5,23 - 38,0.5 - 1.0,15 - 25,35 - 50,10 - 15,0 - 1
Vanguard,U.S.,Aroma,4.0 - 5.0,5.0 - 6.0,15 - 20,0.8 - 1.2,25 - 35,35 - 40,10 - 15,0 - 1
Victoria,Australia,Bittering,14.0 - 15.0,6.0 - 8.0,38 - 40,1.6 - 2.0,30 - 45,14 - 16,9 - 11,0 - 1
Warrior,U.S.,Bittering,15.0 - 17.0,4.5 - 5.5,24 - 26,1.0 - 2.0,40 - 50,15 - 20,8 - 10,0 - 1
WGV,England,Dual,5.4 - 7.7,2.0 - 3.3,32 - 43,0.9 - 1.4,21 - 27,39 - 44,12 - 14,1 - 3
Willamette,U.S.,Dual,4.0 - 6.0,3.0 - 4.0,30 - 35,1.0 - 1.5,45 - 55,20 - 30,7 - 8,5 - 6
Zeus,U.S.,Bittering,12.0 - 18.0,4.0 - 6.0,27 - 35,1.0 - 2.0,25 - 65,10 - 25,5 - 15,0 - 1